personId,name,birthYear,deathYear
58356,Kerry Bishé,1984,
1296175,Hiroshi Aoyama,,
11768,Patricia Tallman,1957,
107378,Darren Morfitt,1973,
20492,Jordan Ladd,1975,
47851,Andrew Sachs,1930,
11626,Gore Vidal,1925,2012
118350,Cheung Tat-Ming,1964,
36672,Tamzin Merchant,1987,
80117,Billy Idol,1955,
29662,Terence Fisher,1904,1980
145683,Svetlana Metkina,1974,
18975,Wilmer Valderrama,1980,
97446,James DuMont,1965,
56819,Dudley Moore,1935,2002
1293080,Lee Kyeong-Yeong,1960,
18915,Catherine Schell,1944,
55790,Allan Moyle,,
590081,Mark Northover,1950,2004
77929,François Morel,1959,
52957,Ray Santiago,1984,
3186,Trent Reznor,1965,
160546,Steve Landesberg,1936,2010
80864,Kimiko Yo,1956,
64131,Courtney Hunt,,
45825,Arthur Santiago,1984,
145633,Noémie Lenoir,1979,
78535,Fabio De Luigi,1967,
5691,Samuel Armstrong,,
236302,Dylan Sprayberry,1998,
27462,Alberto San Juan,1968,
3359,Laurence Olivier,1907,1989
123798,Sheree Folkson,,
70417,Michael Sheard,1938,2005
56339,Yoshiaki Kawajiri,1950,
1248986,Erin Brockovich,1960,
1980,Mary McCormack,1969,
76230,Diane English,1948,
111786,Bengt C.W. Carlsson,1948,
124377,Jeannie Berlin,1949,
16837,Mark Steven Johnson,1964,
3476,Peter Capell,1912,1986
10478,Jeanne Tripplehorn,1963,
31534,Marcus Giamatti,1961,
56691,Saverio Guerra,1964,
37168,Hans Matheson,1975,
6884,Patty Jenkins,1971,
168615,Joy Tanner,1966,
14266,Guy Thomajan,1919,2005
90455,Aryana Engineer,2001,
20580,Joe Manganiello,1976,
18905,Peter J. Lucas,1962,
69357,Maude Barlow,1947,
45051,Harry Treadaway,1984,
58478,Kevin Nealon,1953,
826,Fairuza Balk,1974,
4568,Jayne Eastwood,1946,
1604,Lluís Homar,1957,
18725,Markus Krojer,1994,
98476,Paul Hampton,1937,
16283,Seung-yeon Lee,1968,
64331,Hyung-rae Shim,1958,
29962,King Vidor,1894,1982
9090,Bodil Rosing,1877,1941
6368,Embeth Davidtz,1965,
132262,Steffen Zacharias,1927,1989
95750,Sonu Sood,1973,
1214381,Martin Wood,,
3734,Hanna Schygulla,1943,
1041542,Liam Broggy,2000,
80289,Jay R. Ferguson,1974,
74747,Shahkrit Yamnarm,1978,
40452,Daijiro Harada,1944,
4177,Jake Weber,1964,
87067,Jack Soo,1917,1979
57446,Mark Romanek,1959,
11089,Whip Hubley,1957,
167139,Phil Abrams,1959,
233682,Mareike Carrière,1954,2014
140584,Charles Lampkin,1913,1989
18391,Lee Marvin,1924,1987
10747,Julian Fellowes,1949,
19228,Jim Fall,1962,
19969,Pat O'Connor,,
11462,Ellen Sandweiss,1958,
664,Frank Marshall,1946,
679,Franka Potente,1974,
236408,Julia Gutiérrez Caba,1934,
25130,Ben Barnes,1981,
30542,Gloria Castillo,1935,
70377,Beth Ehlers,1968,
156813,Beulah Quo,1923,2002
336,Xzibit,1974,
38863,Alice Taglioni,1976,
61970,Ben Gluck,1975,
111059,Anthony DiBlasi,,
64612,Jeff Roop,1973,
531,Danny Elfman,1953,
3338,Jay C. Flippen,1899,1971
113608,Lucy Gordon,1980,2009
168116,Asa Maynor,1939,
48313,Will Woytowich,1968,
57434,Amy Heckerling,1954,
1167069,Anthony Marciano,,
118357,Delphine Chanéac,1978,
69711,Jugal Hansraj,1972,
82194,Neill Blomkamp,1979,
24381,Jean Yanne,1933,2003
24733,Derek Godfrey,1924,1983
169202,John Harrington Bland,1968,
62856,Seth Meyers,1973,
158208,Alex Trebek,1940,
1222157,Shukō Murase,,
63502,Ben Gourley,1978,
139503,Jung Young-ki,1981,
3872,Daniel Brühl,1978,
116370,Matthew Diamond,,
500045,David Oakes,1983,
105830,James Kyson,1975,
5457,Roy Atwell,1878,1962
26867,Steve Fletcher,1972,
62712,Andrew Jackson,1963,
56502,Peter Spierig,1976,
17140,Abigail Breslin,1996,
1117,Dennis Farina,1944,2013
37252,Yvonne Zima,1989,
2377,Michael Habeck,1944,2011
1040332,Sandro Dori,1938,
2924,Valerie Hobson,1917,1998
550843,Elizabeth Olsen,1989,
221600,Monica Raymund,1986,
1818,Paul Winfield,1939,2004
10767,Barbara Hershey,1948,
19542,Nelson Shin,,
5374,Jim Parsons,1973,
4307,Claude Akins,1926,1994
78226,David Charhon,,
123476,Joe Satriani,1956,
176653,Dave Annable,1979,
43853,Irma P. Hall,1935,
101901,Milton Selzer,1918,
19840,Alejandro Amenábar,1972,
107730,Anh Hung Tran,1962,
213109,Amber Riley,1986,
15543,Derek Luke,1974,
10360,Robert Prosky,1930,2008
